Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
KNN,0.8871794871794872,0.9208982670606698,0.9321839080459771,0.9252162253638471,0.9717241379310344
Random Forest,0.8871794871794872,0.9085950773158782,0.9521839080459771,0.9277096540513685,0.961596424010217
Logistic Regression,0.8666666666666666,0.8931166806673906,0.9386206896551725,0.9134911956399108,0.904955300127714
SVM,0.8717948717948717,0.8610014091631738,0.993103448275862,0.9216754784377734,0.8906257982120052
Naive Bayes,0.6923076923076923,0.9602517162471396,0.6188505747126436,0.7482320348532974,0.8656960408684548
Decision Tree,0.8615384615384615,0.9169971264367817,0.8972413793103448,0.9053262108023947,0.824176245210728
