Metric,R2ita,R2oxf,Difference
Accuracy,0.9230769230769232,0.4615384615384615,0.46153846153846173
Precision,0.8980952380952381,0.4339622641509434,0.46413297394429465
Recall,0.9266666666666664,0.8214285714285714,0.10523809523809502
F1 Score,0.9082517482517484,0.5679012345679012,0.34035051368384717
ROC AUC,0.950357142857143,0.5781853281853281,0.3721718146718149
