Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.9230769230769231,0.8980952380952381,0.9266666666666665,0.9082517482517483,0.950357142857143
Logistic Regression,0.8923076923076924,0.8528571428571429,0.8800000000000001,0.8625641025641027,0.9404761904761905
SVM,0.8923076923076924,0.8980952380952381,0.8533333333333333,0.870878010878011,0.930952380952381
KNN,0.8615384615384615,0.9099999999999999,0.78,0.8264790764790764,0.9219047619047618
Naive Bayes,0.7384615384615385,0.6662337662337663,0.8533333333333333,0.7404771698889346,0.9116666666666667
Decision Tree,0.8461538461538461,0.9314285714285713,0.7133333333333333,0.7879487179487179,0.8298809523809524
