Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.8717948717948717,0.8951571190211347,0.9455172413793104,0.9182505197803987,0.935249042145594
KNN,0.841025641025641,0.8901586021505377,0.9052873563218391,0.8952011922503725,0.8993231162196679
Naive Bayes,0.6615384615384616,0.9480294940249173,0.5848275862068965,0.7163517037488422,0.8356960408684546
Logistic Regression,0.8051282051282052,0.8396370967741935,0.9183908045977013,0.8766252423761678,0.8293742017879948
Decision Tree,0.8615384615384615,0.9023249299719888,0.9183908045977012,0.9089108998875524,0.8058620689655172
SVM,0.8512820512820513,0.8360844878491938,1.0,0.9103729603729604,0.7998978288633461
