Metric,Roxf,Rita,Difference
Accuracy,0.8871794871794872,0.6615384615384615,0.22564102564102573
Precision,0.9208982670606698,0.7288135593220338,0.19208470773863595
Recall,0.9321839080459772,0.8775510204081632,0.05463288763781393
F1 Score,0.9252162253638472,0.7962962962962963,0.1289199290675509
ROC AUC,0.9717241379310344,0.4956774376417233,0.4760467002893111
